               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 137,            0.020937,           0.0085835,          0.00035729,             0.95826,             0.95228,             0.97379,             0.74321,            0.020129,           0.0037369,          0.00017279,            0.003268,            0.003268,            0.003268
                 138,             0.02075,           0.0084989,          0.00029901,             0.95744,             0.95218,             0.97352,             0.74297,            0.020121,           0.0037366,          0.00017354,           0.0032185,           0.0032185,           0.0032185
                 139,            0.020846,           0.0084172,           0.0002986,             0.95752,             0.95218,             0.97367,             0.74327,            0.020113,           0.0037371,          0.00017372,            0.003169,            0.003169,            0.003169
                 140,            0.020704,           0.0084704,          0.00026064,             0.95739,             0.95169,             0.97375,             0.74359,            0.020109,           0.0037383,          0.00017254,           0.0031195,           0.0031195,           0.0031195
                 141,            0.020774,           0.0085276,            0.000277,             0.95604,             0.95351,              0.9738,             0.74371,              0.0201,           0.0037392,          0.00017179,             0.00307,             0.00307,             0.00307
                 142,             0.02065,           0.0084721,          0.00027735,             0.95812,             0.95377,             0.97433,             0.74359,            0.020098,           0.0037402,          0.00016932,           0.0030205,           0.0030205,           0.0030205
                 143,            0.020676,           0.0083918,           0.0002595,             0.95811,             0.95372,              0.9743,             0.74357,            0.020095,           0.0037414,          0.00016753,            0.002971,            0.002971,            0.002971
                 144,            0.020554,           0.0082614,          0.00025834,             0.95815,             0.95472,             0.97422,              0.7436,            0.020093,            0.003743,          0.00016538,           0.0029215,           0.0029215,           0.0029215
                 145,            0.020253,            0.008251,          0.00028241,              0.9581,             0.95358,             0.97415,             0.74285,            0.020089,            0.003744,          0.00016614,            0.002872,            0.002872,            0.002872
                 146,            0.020445,           0.0083832,          0.00024091,              0.9576,             0.95291,             0.97379,             0.74255,            0.020086,           0.0037447,          0.00016631,           0.0028225,           0.0028225,           0.0028225
                 147,            0.020393,           0.0082835,          0.00022217,             0.95811,             0.95354,             0.97385,             0.74272,            0.020086,           0.0037459,          0.00016532,            0.002773,            0.002773,            0.002773
